Object Name,Institution,UID,Object metadata link,Permanent Object URL (item landing page),Image id,Image URL,Collections Page URL,Description
Tomb Paintings of the Nebamun,BM,YCA55433,http://collection.britishmuseum.org/id/object/YCA55433&format=json,http://collection.britishmuseum.org/id/object/YCA55433,,http://www.britishmuseum.org/collectionimages/AN00242/AN00242652_001_l.jpg,,Fragment of a polychrome tomb-painting representing Nebamun seated (probably associated with the goose census scene from the same tomb) with remains of five vertical registers of polychrome-painted hieroglyphs.
Human mummy,BM,EA32751,http://collection.britishmuseum.org/id/object/YCA62944&format=json,http://collection.britishmuseum.org/id/object/YCA62944,,http://www.britishmuseum.org/collectionimages/AN00035/AN00035533_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=117645&partId=1,"Body of naturally mummified adult male lying in flexed position. Skull - Tufts of ginger-coloured hair are present on the scalp. No obvious fractures. Mouth slightly open. All teeth present and appear healthy. Thorax and Abdomen - Comminuted fracture, 4th left rib. Fracture, anterior third of 6th, 7th, 8th, and 9th left ribs. The spinal column is free from fractures and dislocations. The intervertebral discs appear normal. No arthritic changes are present. There is a large, faintly granular opacity within the thorax. Stellate crack fracture on the wing of the left ilium. Fracture through the right pubic ring. Arms - No definite fractures seen. The left index finger and several of the terminal phalanges of the feet are missing. Legs - Both femoral shafts are fractured and there is a fracture of the shaft of the left tibia and fibula. Three shells are present on the soft tissue just behind the left knee. No lines of arrested growth are visible."
Sutton Hoo Helmet,BM,MCS16604,http://collection.britishmuseum.org/id/object/MCS16604&format=json,http://collection.britishmuseum.org/id/object/MCS16604,http://www.britishmuseum.org/collectionimages/AN00035/AN00035172_001_l.jpg,http://www.britishmuseum.org/collectionimages/AN00035/AN00035172_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=86159&partId=1&searchText=sutton+hoo+helmet&page=1,"Iron and tinned copper alloy helmet, consisting of many pieces of iron, now built into a reconstruction, forming cap, cheek-pieces, mask and neck-guard. Covered with panels of tinned copper alloy sheeting. The copper alloy sheets are stamped with various patterns including animal interlace, and warrior motifs depicted in two panels. Three different dies were used for the figural scenes and two for the interlace. The warrior motifs are known as the ""Dancing Warrior"" and ""Fallen Warrior"". A crest runs over the cap of the helmet and leads down the face in a straight line, forming the nose, which is gilt copper alloy. The crest itself is of iron and has gilt animal terminals at the forehead and back of the head, the animals having cloisonné garnet eyes. The iron crest and copper alloy eyebrows are inlaid with silver wire; the eyebrows have gilt zoomorphic terminals consisting of boar heads, and strips of garnet cloisonné work immediately above the eye sockets. The nose and mouth-piece are cast as one; they are made of parcel-gilt and partly tinned copper alloy, with engraved detail and silver inlay."
Easter Island stature photograph,BM,EPF110934,http://collection.britishmuseum.org/id/object/EPF110934&format=json,http://collection.britishmuseum.org/id/object/EPF110934,,http://www.britishmuseum.org/collectionimages/AN00609/AN00609207_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=3201477&partId=1&searchText=easter+island+figure&page=1,"Photograph (black and white), from an album; stone figure carving of Hoa Hakananai'a from Easter Island. Gelatin silver print"
Nataraja Bronze Figure,BM,RRI1674,http://collection.britishmuseum.org/id/object/RRI1674&format=json,http://collection.britishmuseum.org/id/object/RRI1674,,http://www.britishmuseum.org/collectionimages/AN00945/AN00945666_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=181996&partId=1&searchText=shiva&page=1,"Jones 1990 The sacred image Hindu iconography: two bronze figures of the god Shiva (comment relating to registration nos. 1969,1216.1 and 1880.445) These two representations of Shiva as Nataraja (Lord of the Dance), though separated by eight centuries, show the deity in the same position, carrying the same attributes; further, both dance on a figure symbolising ignorance and are surrounded by fire. In Hindu tradition the effectiveness of icons depends on reproducing the divine image prescribed by writings such as the agama texts, which explain how each form of the deity should be depicted."
Roman Coin,BM,CGR116516,http://collection.britishmuseum.org/id/object/CGR116516&format=json,http://collection.britishmuseum.org/id/object/CGR116516,,http://www.britishmuseum.org/collectionimages/AN01313/AN01313275_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=3597&partId=1&searchText=roman+coins&page=1,Silver coin.
Kanga Cloth,BM,EAF64798,http://collection.britishmuseum.org/id/object/EAF64798&format=json,http://collection.britishmuseum.org/id/object/EAF64798,,http://www.britishmuseum.org/collectionimages/AN00711/AN00711170_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=1402464&partId=1&place=40703&object=8964&page=1,"A rectangular machine-printed white cotton cloth, kanga, with a continuous patterned border of yellow, black and red floral motifs, enclosing a central red rectangle with repeating diagonal designs in red, yellow and white. Just above the centre of the lower border is an inscription in Kiswahili written in the Roman script: SINA SIRI NINA JIBU - "" I have no secrets but I have an answer""."
Roman Wall Painting,BM,GAA1016,http://collection.britishmuseum.org/id/object/GAA1016&format=json,http://collection.britishmuseum.org/id/object/GAA1016,,http://www.britishmuseum.org/collectionimages/AN00034/AN00034579_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=466296&partId=1&place=35011|34970&plaA=34970-3-1|35011-3-1&sortBy=imageName&page=1,"Wall painting: portrait of a man and a woman. The man is shown bare-chested and the woman, whose hairstyle suggests an Augustan date, is wearing a powder-blue tunic and a matching headband. This roundel or medallion originally formed part of the decorative scheme on a painted wall in a house in Pompeii and is in the third Pompeiian style."
Roman bracelet,BM,GAA1026,http://collection.britishmuseum.org/id/object/GAA1026&format=json,http://collection.britishmuseum.org/id/object/GAA1026,,http://www.britishmuseum.org/collectionimages/AN00147/AN00147126_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=466286&partId=1&place=35011|34970&plaA=34970-3-1|35011-3-1&sortBy=imageName&page=1,Gold bracelet in the form of a coiled snake.
Yuan Dynasty Vase,BM,RRC38621,http://collection.britishmuseum.org/id/object/RRC38621&format=json,http://collection.britishmuseum.org/id/object/RRC38621,,http://www.britishmuseum.org/collectionimages/AN00536/AN00536453_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=3179870&partId=1&people=162439&page=1,"Longquan porcelain meiping vase of octagonal form. The vase has grey green glaze. There are three moulded panels on each of the eight facets, with chrysanthemum sprays on the upper and lower panels. The centre panels are unglazed and biscuit fired, and show alternately Daoist immortals and chrysanthemum sprays."
Japanese Head Guard,BM,EAS21231,http://collection.britishmuseum.org/id/object/EAS21231&format=json,http://collection.britishmuseum.org/id/object/EAS21231,,http://www.britishmuseum.org/collectionimages/AN00702/AN00702289_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=556253&partId=1&searchText=japan&page=6,"Boy's guard (head) made of leather, cloth (cotton), iron."
Gion Matsuri Print,BM,JCF11617,http://collection.britishmuseum.org/id/object/JCF11617&format=json,http://collection.britishmuseum.org/id/object/JCF11617,,http://www.britishmuseum.org/collectionimages/AN00233/AN00233184_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=778861&partId=1&searchText=japan&page=9,Woodblock print. Published.
Crystal Skull,BM,ESA7549,http://collection.britishmuseum.org/id/object/ESA7549&format=json,http://collection.britishmuseum.org/id/object/ESA7549,,http://www.britishmuseum.org/collectionimages/AN00020/AN00020718_001_l.jpg,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=662974&partId=1&searchText=mexico+crystal+skull&page=1,Skull figure made of crystal.
